concept,member,member type,sort weight,void/retire,_version:1
ae12499a-20ea-4f1f-8cf4-a9b6e07d920c,6f37806a-7483-4e9d-a6b4-cf16ca0b1862,concept-set,1,,1
84d1cdd4-c79a-5dac-90cd-cba3a4e0062f,6f37806a-7483-4e9d-a6b4-cf16ca0b1862,concept-set,1,,1
ae12499a-20ea-4f1f-8cf4-a9b6e07d920c,f5b46b8c-73d0-4873-8362-4e7bee4aae7a,concept-set,1,,1
ae12499a-20ea-4f1f-8cf4-a9b6e07d920c,da771fd4-b0c3-4eaa-a407-ad9a9f0daa78,concept-set,1,,1
21d4ed8c-1ef0-5e0b-9577-30b7ffd2dd14,da771fd4-b0c3-4eaa-a407-ad9a9f0daa78,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,a395afbf-09ac-41c9-af7b-9de4d76a62ba,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,e097ae7d-e723-41c2-9dc8-2241fb30fc46,concept-set,1,,1
fbc093e4-2860-5c2a-9158-d860a951c736,e097ae7d-e723-41c2-9dc8-2241fb30fc46,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,9738aefd-fd96-40ff-8eac-db3443bd2425,concept-set,1,,1
ce6c99bc-2d9c-5c67-86b3-7538134bbd66,9738aefd-fd96-40ff-8eac-db3443bd2425,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,b834f538-8ab5-4429-8e69-2caa789a098e,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,82a19363-cd9f-471f-b64f-b0a5f53c3d18,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,fb813e33-4ccb-4bc8-90ed-722459bc2384,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,c31e2327-18e9-493f-be0f-b27c58d14d30,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,4f9b05ba-1b2e-44a9-b5e4-a810c3822967,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,e4a1ce8f-a3a6-42ad-8c47-1c31a3277884,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,f9d578ad-9611-4b78-b447-835750eb88e7,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,cafeda2a-8a59-4858-b1e6-27bf66fc980f,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,50c48c65-6b4a-4784-8b65-c9ee7b4b6ffb,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,1cae42b5-7483-4d33-ae10-329d0f0919fd,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,baec65ad-c3ab-418c-bdbb-fcab3e48f31c,concept-set,1,,1
7adb5c46-f16c-4dee-8c12-a4ef33d35d3b,9ddcdea0-63e8-40b8-bbe2-94f8201a3b6c,concept-set,1,,1
b3bd8167-f629-4889-902d-bea386065b3e,90dca3a3-3ef3-4af5-a25a-b0abf025da5e,concept-set,1,,1
b3bd8167-f629-4889-902d-bea386065b3e,64dd279f-480f-424f-8a4f-f14b76f73286,concept-set,1,,1
b3bd8167-f629-4889-902d-bea386065b3e,316490b2-0d0f-4c12-a0d7-4ec4f250f1cc,concept-set,1,,1
b3bd8167-f629-4889-902d-bea386065b3e,f72fafd6-1a02-4fae-8716-506c10865e64,concept-set,1,,1
b3bd8167-f629-4889-902d-bea386065b3e,04637d9c-f35f-4db3-babd-19b59a7ee4e9,concept-set,1,,1
b3bd8167-f629-4889-902d-bea386065b3e,cfe1a1da-0e10-464e-8c53-2eec6faa37ba,concept-set,1,,1
23f35085-5bc6-477f-93c4-29cac4651c5c,06ac9a54-453b-43c1-bbea-6376f19def32,concept-set,1,,1
23f35085-5bc6-477f-93c4-29cac4651c5c,a5c0af48-627b-4701-a12c-1be959e47bf0,concept-set,1,,1
23f35085-5bc6-477f-93c4-29cac4651c5c,f92a8509-3978-4fa1-869c-f2d56744f271,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,61fb10dc-bd32-4e52-a795-af2e35d72ed8,concept-set,1,,1
200de1c0-600e-5120-bb47-585dcc7621fd,61fb10dc-bd32-4e52-a795-af2e35d72ed8,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,6d5ea3d6-f0f9-4418-a0d4-883282eebcc5,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,66743fe6-e974-45b6-83db-d3c3159c83e2,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,306b3b22-54d7-4ac1-9a37-fa58b82a70b9,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,073046e1-7a0f-4229-8cec-b65b321dc7fa,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,2b7f739f-ecce-404f-b0a2-fa33c8eb24f3,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,ed8fbb07-1124-4b64-9375-7dfc9d544b1a,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,82d7936e-84f4-4da1-8ece-f86e9b403a04,concept-set,1,,1
5da23545-7aa5-59bb-a10b-fd6b4e1f862a,82d7936e-84f4-4da1-8ece-f86e9b403a04,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,e9b0a6ce-3a4c-4d80-adbd-0e224c7fb33d,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,ee235c68-5090-4995-93b2-3ccce93e30ae,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,a14a26d4-1ca8-49ad-86a0-3901bc02ffcd,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,47400f94-0929-489f-9883-5e8fa9760331,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,3f9a834f-744d-47c0-a2cf-13b9f7e3f51e,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,1103901a-77a6-4019-94f3-c3a253a3d21c,concept-set,1,,1
b1d45268-692e-474d-ba3d-8918b91b923b,589d9225-e632-4536-8b7f-afdfbfe8dcbf,concept-set,1,,1
