concept,member,member type,sort weight
"Acute malnutrition in infants, children or adolescents (Super-Category)","Acute malnutrition in infants, children or adolescents",concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases","Stunting in infants, children or adolescents (Super-Category)",concept-set,14
"Stunting in infants, children or adolescents (Super-Category)","Stunting in infants, children or adolescents",concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Underweight in adults (Super-Category),concept-set,15
Underweight in adults (Super-Category),Underweight in adults,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,16
Vitamin A deficiency (Super-Category),Vitamin A deficiency,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,17
Vitamin A deficiency (Super-Category),Vitamin A deficiency with night blindness,concept-set,2
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,18
Vitamin A deficiency (Super-Category),Vitamin A deficiency with conjunctival xerosis,concept-set,3
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,19
Vitamin A deficiency (Super-Category),Vitamin A deficiency with conjunctival xerosis or Bitot’s spots,concept-set,4
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,20
Vitamin A deficiency (Super-Category),Vitamin A deficiency with corneal xerosis,concept-set,5
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,21
Vitamin A deficiency (Super-Category),Vitamin A deficiency with corneal ulceration or keratomalacia,concept-set,6
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin A deficiency (Super-Category),concept-set,22
Vitamin A deficiency (Super-Category),Vitamin A deficiency with xerophthalmic scars of cornea or blindness,concept-set,7
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin C deficiency (Super-Category),concept-set,23
Vitamin C deficiency (Super-Category),Scurvy,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin D deficiency (Super-Category),concept-set,24
Vitamin D deficiency (Super-Category),Vitamin D deficiency rickets,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin B1 deficiency (Super-Category),concept-set,25
Vitamin B1 deficiency (Super-Category),Beriberi,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Vitamin B3 deficiency (Super-Category),concept-set,26
Vitamin B3 deficiency (Super-Category),Pellagra,concept-set,1
"Chapter 5: Endocrine, nutritional or metabolic diseases",Folate deficiency (Super-Category),concept-set,27
Folate deficiency (Super-Category),Folate deficiency,concept-set,1
