Uuid,Void/Retire,Concept,Member,Member Type,Sort Weight
b123e1cd-61a4-4027-a2c6-54e011e21b21,,Medical Supply Items,Hypoallergenes Klebevies 15cmx10m,CONCEPT-SET,186
41da164d-1539-4a53-b2ef-86d42667fd6a,,Medical Supply Items,MC3 A ECG SCOPE,CONCEPT-SET,187
f52a6735-f0f2-4fb5-a73f-0467cae94d22,,Medical Supply Items,MC3 ECG SCOPE,CONCEPT-SET,188
142e1a84-de9d-4a3b-b5bf-23b4fb047e71,,Medical Supply Items,New Emergency Health Kit Supply 2 Equipment,CONCEPT-SET,189
f868c624-7f57-4fc1-b910-581410417e77,,Medical Supply Items,Pipette,CONCEPT-SET,190
8aa8a2ba-e367-4cc2-b1b4-ed73a17ee604,,Medical Supply Items,Vacume Jar,CONCEPT-SET,191
57489e9a-b4a7-4c64-aefd-72bc1cfe5242,,Medical Supply Items,Adhesive Plaster Zinc Oxide 5cmx5cm,CONCEPT-SET,192
5f846683-d60e-4c80-8216-0958d81aade5,,Medical Supply Items,Cotton Absorbant 500gm of 20 rolls,CONCEPT-SET,193
21c34f39-2287-4a0d-b276-b0adb78ac90f,,Medical Supply Items,"Gauze Pad,12ply",CONCEPT-SET,194
2e5d17aa-7e51-453b-83c8-7387ba86b1b3,,Medical Supply Items,Demo Implants,CONCEPT-SET,195
62e52a2b-bb93-4494-bb5b-92bd3783b27e,,Medical Supply Items,Umblical Cord Tie 3mmx50 Metter,CONCEPT-SET,196
7b0dccfb-3cc8-4f44-9f00-7185f5fd46e8,,Medical Supply Items,Metal looks like syringe,CONCEPT-SET,197
cf7525f5-acd1-4f80-b62f-74e4320c07ca,,Medical Supply Items,Over All,CONCEPT-SET,198
da6bc466-7fb6-476a-89d6-c19aac6c0450,,Medical Supply Items,Safety Goggles,CONCEPT-SET,199
d03dce0f-c610-4552-81e4-33b0c5963f41,,Medical Supply Items,Helmet (Medical Supply),CONCEPT-SET,200
6ff602a3-31fb-47fd-9c5d-1a24530d5ffe,,Medical Supply Items,Glove,CONCEPT-SET,201
5d1d7220-4067-4d71-a339-8960ba89bea0,,Medical Supply Items,Chemical Mask Double filter,CONCEPT-SET,202
ac36b521-c4fd-409a-ab02-c4c635787b06,,Medical Supply Items,Jar for pick up forceps,CONCEPT-SET,203
babeffd9-f4e2-4bf6-8efb-22a34ad55ed5,,Medical Supply Items,Rectal Catheter No.16,CONCEPT-SET,204
