Uuid,Void/Retire,Short name:en,Fully specified name:en,Fully specified name:fr,Data class,Data Type,Members,_order:500,Mappings|SAME-AS
9517c78e-5be3-44dd-a72a-56dd3e66d36d,,,Pipette Tips 200UL White,,Medical supply,N/A,,,DAGU Item:3871
5b291129-e3ad-47cd-acd9-2a2a2a08da64,,,"Urine Collecting Bag 1500 ml, sterilized",,Medical supply,N/A,,,DAGU Item:3889
23c40659-2da0-446f-9e64-db4a5f3f9d10,,,Syringe(AD) 1ml,,Medical supply,N/A,,,DAGU Item:3891
33222af8-0501-4dc2-ae03-588fb2f039f0,,,Combitip Plus 25ml,,Medical supply,N/A,,,DAGU Item:3895
9086bc26-3bbf-43f4-bed7-255ac1db650f,,,Ear Syringe 65ml Rubber,,Medical supply,N/A,,,DAGU Item:3896
44ba3045-79fc-42ec-84ae-f6a2f386cc11,,,Infectious Waste Container,,Medical supply,N/A,,,DAGU Item:3897
e50d1729-eccc-47af-93b9-4e4fe2787533,,,Dental Needle 27g long,,Medical supply,N/A,,,DAGU Item:3993
c018ed15-299a-4237-8620-addcc8f05cc0,,,Stool Specimen Container Disposable of Polypropylene with Cover,,Medical supply,N/A,,,DAGU Item:4263
16956b13-2d0f-4a96-a234-e1428e0ef7f0,,,Face Shield Guardall,,Medical supply,N/A,,,DAGU Item:4282
8fff15fb-70ac-4636-9e79-cef71d06c743,,,BD Vacutainer Needle Safe Lock 23G,,Medical supply,N/A,,,DAGU Item:4320
4576a53c-fbe7-4e86-b572-d6d32f9e01cb,,,Gauze Bandage 8cm x 5cm,,Medical supply,N/A,,,DAGU Item:4340
31eeaf63-9353-4a1f-925a-2bb354c8eb62,,,Gauze Bandage 10cm x 300cm,,Medical supply,N/A,,,DAGU Item:4347
262a4e21-b0e0-4f98-86df-c773fa39bd64,,,Hypoallergenes Klebevies 15cmx10m,,Medical supply,N/A,,,DAGU Item:4351
8a9fc4c3-8b8c-4317-96a8-32ab150cc780,,,MC3 A ECG SCOPE,,Medical supply,N/A,,,DAGU Item:4366
f6aa7378-e67a-44e4-a3fd-82d69ad100b5,,,MC3 ECG SCOPE,,Medical supply,N/A,,,DAGU Item:4368
c221de7b-6e75-47da-b632-0b2f4f291f33,,,New Emergency Health Kit Supply 2 Equipment,,Medical supply,N/A,,,DAGU Item:4379
ffdcbc55-c719-4a44-9579-7d7ed2a21f36,,,Pipette,,Medical supply,N/A,,,DAGU Item:4412
